prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,cluster
0.91339111328125,0.21875,0.5595489781536294,0.48,0
0.8912353515625,0.2265625,0.5117845117845118,0.5151515151515151,0
0.890380859375,0.25,0.522271714922049,0.421875,0
0.916015625,0.3203125,0.5494186046511628,0.5747126436781609,0
0.949462890625,0.35546875,0.4855072463768116,0.5212121212121212,2
0.91754150390625,0.25,0.5551443375277573,0.5104166666666666,0
0.912841796875,0.27734375,0.5056022408963585,0.4756756756756757,0
0.91070556640625,0.234375,0.4989747095010253,0.5459183673469388,0
0.89349365234375,0.26171875,0.501432664756447,0.4603174603174603,0
0.9407958984375,0.2890625,0.4865979381443299,0.5,2
0.90313720703125,0.24609375,0.4662885948330182,0.5233160621761658,0
0.939697265625,0.30859375,0.4392712550607287,0.5536723163841808,2
0.90020751953125,0.22265625,0.5125382262996941,0.4723618090452261,0
0.9376220703125,0.3515625,0.5078277886497065,0.5120481927710844,2
0.97412109375,0.25,0.490566037735849,0.5,2
0.92376708984375,0.22265625,0.7197758206565252,0.5376884422110553,1
0.900146484375,0.20703125,0.5213936430317848,0.541871921182266,0
0.894287109375,0.2265625,0.5121247113163973,0.5404040404040404,0
0.9029541015625,0.22265625,0.5025157232704403,0.4924623115577889,0
0.9190673828125,0.1796875,0.5361990950226244,0.5047619047619047,0
0.8956298828125,0.203125,0.5169590643274854,0.5833333333333334,0
0.94146728515625,0.33203125,0.483837330552659,0.4736842105263157,2
0.96136474609375,0.2734375,0.4296998420221169,0.5,2
0.9080810546875,0.328125,0.4847277556440903,0.4651162790697674,2
0.916259765625,0.2578125,0.4919825072886297,0.5473684210526316,0
0.9334716796875,0.328125,0.4706422018348624,0.5406976744186046,2
0.90911865234375,0.29296875,0.5016789791806582,0.5027624309392266,0
0.8935546875,0.2421875,0.4879587155963302,0.520618556701031,0
0.93017578125,0.30859375,0.4956293706293706,0.4576271186440678,2
0.91790771484375,0.25390625,0.5598513011152416,0.4659685863874345,0
0.923828125,0.2578125,0.4975961538461538,0.5,0
0.992919921875,0.19921875,1.0,0.5902439024390244,1
0.912841796875,0.265625,0.5168067226890757,0.5531914893617021,0
0.91253662109375,0.25,0.4940683879972086,0.5364583333333334,0
0.912109375,0.2890625,0.4916666666666666,0.412087912087912,0
0.9185791015625,0.21484375,0.7241379310344828,0.5970149253731343,1
0.930908203125,0.21484375,0.5627208480565371,0.582089552238806,0
0.90753173828125,0.20703125,0.528052805280528,0.5369458128078818,0
0.92822265625,0.23046875,0.6232993197278912,0.5482233502538071,0
0.95526123046875,0.18359375,0.7708049113233287,0.5645933014354066,1
0.89605712890625,0.29296875,0.5067527891955372,0.4696132596685083,0
